base_ts_unix,base_elapsed_s,gripper_dt_sec,external_dt_sec,base_gripper,base_rx_mdeg,base_ry_mdeg,base_rz_mdeg,base_speed,base_t_ms,base_timestamp_unix,base_waypoint_index,base_x_um,base_y_um,base_z_um,external_elapsed_s,external_pos1,external_pos2,external_pos3,external_tactile_data,external_timestamp_unix
1777016558.404901,0.000000,,+0.004903,none,179999,0,0,100,3475,1777016558.404901,0,490114,1,424990,1195.5662686824799,3038,3036,2008,,1777016558.4098036
1777016592.647901,34.243000,,-0.017280,none,179999,0,0,100,37718,1777016592.647901,1,490104,255509,424963,1229.7870860099792,3038,3038,2008,,1777016592.630621
1777016593.972901,35.568000,,+0.001552,none,179999,0,0,100,39043,1777016593.972901,2,546891,255509,424963,1231.130918264389,3039,3038,2008,,1777016593.9744532
1777016626.073901,67.669000,,+0.009390,none,179999,0,0,100,71144,1777016626.073901,3,546891,255509,114899,1263.239756345749,3069,3092,2046,,1777016626.0832913
1777016632.336901,73.932000,,-0.014195,none,179999,0,0,100,77407,1777016632.336901,4,546891,255509,355725,1269.4791705608368,3069,3075,2046,,1777016632.3227055
1777016637.002901,78.598000,,+0.023250,none,179999,0,0,100,82073,1777016637.002901,5,546891,-227519,355725,1274.1826164722443,3069,3075,2046,,1777016637.0261514
1777016644.495901,86.091000,,+0.017462,none,179999,0,0,100,89566,1777016644.495901,6,546891,-227519,114628,1281.6698279380798,3080,3123,2042,,1777016644.513363
1777016690.788901,132.384000,,+0.023989,none,179999,0,0,100,135859,1777016690.788901,7,546891,-227518,263928,1327.9693548679352,3069,3149,2042,,1777016690.8128898
