base_ts_unix,base_elapsed_s,gripper_dt_sec,external_dt_sec,base_gripper,base_rx_mdeg,base_ry_mdeg,base_rz_mdeg,base_speed,base_t_ms,base_timestamp_unix,base_waypoint_index,base_x_um,base_y_um,base_z_um,external_elapsed_s,external_pos1,external_pos2,external_pos3,external_tactile_data,external_timestamp_unix
1776966307.043619,0.000000,,-0.016829,none,179999,0,0,60,1675,1776966307.043619,0,490117,-4,424995,268.92132091522217,3052,3055,2028,,1776966307.0267894
1776966318.828619,11.785000,,+0.004868,none,179999,0,0,60,13460,1776966318.828619,1,490117,-4,169135,280.72801876068115,3012,3014,1989,,1776966318.8334873
1776966336.436620,29.393001,,-0.020622,none,179999,0,0,60,31068,1776966336.436620,2,490117,-4,158614,298.31052899360657,2274,2322,1244,,1776966336.4159975
1776966374.396620,67.353001,,-0.000629,none,179999,0,0,60,69028,1776966374.396620,3,490117,-4,275749,336.290522813797,1922,2322,906,,1776966374.3959913
